Plot ID,S. no,Species,Leaf wet mass,Above ground mass,Stem mass,Root mass,Stem length,Root length,Root % lost,Species ID,Comments 02,Comments 01
KDM41,S12(2),S1,0.09,5.79,4.88,3.61,30,20,,uk(Syz),,
KDM41,S15,S1,0.77,1.33,1.33,0.94,14,22,,uk,,
KDM41,S17,S1,0.52,2.59,1.42,0.7,25.5,15.5,,Litsea,,
KDM42,S1(1),S1,0.25,0.77,0.42,0.57,15.5,10,,Blachia,,
KDM42,S1(2),S1,0.14,0.37,0.21,0.32,13,12,,Blachia,,
KDM42,S2(1),S2,0.92,0.92,0.34,0.16,13,5,,uk,,alternate
KDM42,S2(2),S2,0.18,0.57,0.29,0.22,14,7.5,,uk,,alternate
KDM42,S2(3),S2,0.16,0.47,0.26,0.15,14,8,,uk,,alternate
KDM42,S2(4),S2,0.14,0.4,0.15,0.12,10,11,,uk,,alternate
KDM42,S2(5),S2,0.19,0.62,0.31,0.18,13,11.5,,uk,,alternate
KDM42,S3,S3,0.15,0.95,0.48,0.2,17,5,,ClaDen,,
KDM42,S4,S4,0.08,0.27,0.19,0.07,12,4,,,,one leaf only measured
KDM42,S5(1),S5,0.15,0.4,0.16,0.1,12,5,,,,
KDM42,S5(2),S5,NA,2.38,2.11,NA,30,NA,,,,root couldnt collect
KDM43,S1,S1,0.28,2.48,0.93,0.54,30,6,,,,
KDM43,S1(2),S1,0.26,1.09,0.42,0.45,20,9,,,img75253,Possibly a weed
KDM43,S2,S2,0.62,1.71,0.44,1.37,12,NA,,PsyNig,,psychotria stem-root issue
KDM43,S3,S3,0.07,0.84,0.38,0.23,16.5,12,,,,
KDM6,S1,S1,0.03,0.15,0.06,0.08,9,7,,,"103-3076, 103-3077, 103-3093, 103-3097",Possibly Syzygium
KDM6,S2,S2,0.78,4.26,2.25,1.23,20.2,4.6,,,,
KDM6,S2(2),S2,0.01,0.09,0.03,1.05,2,10.2,,,,
KDM6,S3,S3,0.07,0.4,0.23,1.73,9,16,,,,Only one leaf used
KDM6,S3(2),S3,0.34,1.1,0.63,3.35,12,26.5,,,,
KDM6,S4,S4,0.03,0.32,0.11,0.38,11.4,27.2,,,"103-3099, 103-3102, 103-3103",Possibly a weed
KDM7,S1,S1,0.6,2.83,0.78,0.27,11.2,6.2,,,,
KDM7,S1(2),S1,0.38,2.44,1.45,0.54,17.5,12.2,,,,
KDM7,S1(3),S1,0.54,2.74,0.89,0.68,10.8,9.6,,,,
KDM7,S1(4),S1,0.53,2.39,0.64,0.5,8.2,11.2,,,,
KDM7,S2,S2,0.39,2.39,0.86,0.58,27,8.4,,,"103-3106, 103-3109, 103-3110, 103-3111",Unidentified
KDM7,S2(2),S2,0.17,1.16,0.5,0.56,25.6,10.6,,,,
KDM8,S1,S1,0.19,0.77; (0.49),0.23,4.17,8.4; (8.6),"28.5; (7.2, 4.6)",,,7.2 and 4.6 are lengths of the secondary and teritary roots respectively,Dead stem attached to the root weighs 0.49 kg and measures 8.6 cm
KDM8,S1(2),S1,0.14,1.36,0.69,0.49,19.2,12.2,,,,
KDM8,S2,S2,0.53,2.06,1.42,2.54,28.5,20.8,,,"103-3113, 103-3114",Unidentified
KDM8,S3,S3,0.11,0.67,0.24,0.12,19,5.8,,,"103-3116, 103-3117",Unidentified
KDM8,S4,S4,0.3,0.43,0.13,0.12,11,10.4,,,"103-3123, 103-3124",Unidentified
KDM8,S4(2),S4,0.32,0.48,0.16,0.15,11,12.6,,,,
KDM9,S1,S1,1.72,9.03,6.02,1.92,39,13.2 + 9.8 +3.6,,,,3 branches in the root system have been measured
KDM9,S1(2),S1,NA,NA,8.31,2.53,15.2,14.2 + 8.8,,,,2 branches in the root system have been measured. Leaves have undergone herbivory
KDM9,S1(3),S1,0.22,5.28,4.27,6.42,25.6,28.4 + 19 + 16,,,,3 branches in the root system have been measured
KDM9,S1(4),S1,0.54,3.62,2.66,0.9,21.6,12.8 + 1.2,,,,2 branches in the root system have been measured. 
KDM9,S1(5),S1,0.34,3,2.09,1.53,18.2,11.8 + 10.5 ,,,,3 branches in the root system have been measured. 
KDM9,S1(6),S1,1.01,4.57,2.31,0.99,28.8,21.8 + 12.2,,,,2 branches in the root system have been measured. 
KDM9,S2,S2,0.1,0.68,0.29,0.37,19.8,8.5,,,,Psyzygium sp?
KDM10,S1,S1,1,17.48,11.53,3.7,11.4,22.5,,,,
KDM10,S1(2),S1,1.14,4.62,1.48,1.78,15.6,18,,,,
KDM10,S1(3),S1,1.2,6.13,2.44,1.71,21,21.8,,,,
KDM10,S1(4),S1,1.05,4.23,1.98,1.19,19.5,15.8 + 10,,,,2 branches in the shoot system have been measured. 
KDM10,S2,S2,0.32,1.49,1.14,0.88,22.5,12.2,,,"103-3261, 103-3266, 103-3269",
KDM11,S1,S1,1.68,11.33,4.64,1.56,25.6,12.8,,,,
KDM11,S1(2),S1,1.99,8.47,2.58,1,17.8,14.6,,,,
KDM11,S1(3),S1,1.31,7.73,2.62,0.53,18.5,9.2 + 6,,,,2 branches in the root system have been measured. 
KDM11,S1(4),S1,1.5,7.05,3.07,1.53,15.6,18.8,,,,
KDM11,S1(5),S1,0.98,4.6,1.01,0.96,10.6,15 + 11.6 + 5.5,,,,3 branches in the root system have been measured. 
KDM11,S1(6),S1,0.21,1.07,0.39,0.38,15,7,,,,
KDM11,S2,S2,0.09,0.77,0.21,0.07,13.4,4,,,,
KDM11,S3,S3,0.92,8.1,4.84,6.9,28.2,28,,,,"103-3239, 103-3240"
KDM11,S3(2),S3,0.38,2.8,1.85,2.36,17.2,11.4,,,,
KDM11,S4,S4,0.26,7.5,5.69,2.68,27.4,17.4,,,,"103-3241, 103-3249, 103-3250"
KDM11,S4(2),S4,0.21,2.34,1.99,0.77,14.2,10,,,,main stem broken and dead. New regrown stem measured
KDM11,S5,S5,0.92,3.57,1.49,0.89,24,10,,,,"103-3252, 103-3253"
KDM11,S5(2),S5,0.41,1.78,1.37,0.78,20.5,10.8,,,,
KDM11,S5(3),S5,0.63,1.87,0.62,0.72,16.1,17.2,,,,
KDM11,S5(4),S5,0.58,1.29,0.22,0.13,10.2,5.4,,,,
KDM11,S5(5),S5,0.15,0.84,0.45,NA,15.5,NA,,,,Root missing
KDM12,S1,S1,0.65,2.47,1.02,0.27,15.5,9,,,,
KDM12,S1(2),S1,1.07,10.17,5.82,8.15,27 + 12.6,34.2,,,,2 branches in the shoot system have been measured. 
KDM12,S2,S2,0.07,0.4,0.16,0.11,14,6,,,,
KDM12,S3,S3,0.2,1.39,0.37,0.34,14,8.2,,,,
KDM12,S4,S4,0.06,0.47,0.25,0.45,8.8 + 8.8,7.8,,,"103-3254, 103-3255, 103-3256",2 branches in the shoot system have been measured. 
KDM12,S5,S5,0.47,12.39,5.47,4.78,30.5,22.8,,,"103-3257, 103-3258",
KDM13,S1,S1,1.15,6.11,3.08,2.63,16.8,17.8,,,"103-3274, 103-3273, 103-3272",
KDM13,S2,S2,2.57,18.09,8.33,3.01,12.4,18.4,,PsyNig,,Psychotria nigra
KDM13,S2(2),S2,0.64,6.44,3.37,0.62,29.2,12.8,,PsyNig,,Only one leaf used for leaf-trait measurement. Others diseased or undergone herbivory
KDM13,S2(3),S2,0.48,2.69,1.32,0.27,20,5.4,,PsyNig,,
KDM13,S3,S3,0.18,0.74,0.4,0.12,17.8,10.8,,,"103-3275, 103-3277, 103-3278",
KDM13,S4,S4,0.07,0.43,0.18,0.09,12.8,5.8,,PsyNig,,
KDM13,S4(2),S4,0.07,0.56,0.19,0.08,14.5,8.5,,PsyNig,,
KDM13,S4(3),S4,0.22,1.37,0.3,0.38,14.2,13.2,,PsyNig,,
KDM13,S4(4),S4,0.12,2.05,1.76,1.65,15,9.8,,PsyNig,,
KDM13,S4(5),S4,0.01,0.2,0.08,0.02,11.5,4.2,,PsyNig,,
KDM13,S4(6),S4,0.08,0.52,0.13,0.11,10.8,7.8,,PsyNig,,
KDM13,S4(7),S4,0.01,0.4,0.21,0.13,15.5,6,,PsyNig,,
KDM13,S4(8),S4,0.16,1.02,0.26,0.23,13.8,13.5,,PsyNig,,
KDM13,S4(9),S4,0.14,1.1,0.33,0.25,15.8,8.8,,PsyNig,,
KDM13,S5,S5,0.53,3.96,1.39,0.98,40,12.2,,,"103-3338, 103-3339, 103-3340, 103-3341",
KDM13,S6,S6,0.17,0.94,0.25,0.12,15.2,8.2,,,"103-3342, 103-3344, 103-3345",
KDM13,S7,S7,0.23,0.6,0.3,0.14,10.8,7.6,,,"103-3346, 103-3347, 103-3349, ",
KDM13,S8,S8,0.18,1.15,0.34,0.4,16.5,8.6,,,"103-3350, 103-3351",
KDM14,S1,S1,0.9,6.33,2.82,2.27,28.5,16,,,"103-3279, 103-3280, 103-3282",
KDM14,S2(1),S2,1.06,5.28,1.8,2.07,22.8,22.5,,,"103-3283, 103-3284",
KDM14,S2(2),S2,1.12,4.81,1.7,1.48,21.8,15.6,,,,
KDM14,S3,S3,0.12,0.43,0.28,0.19,14.2,7.6,,,"103-3286, 103-3287",
KDM15,S1(1),S1,0.35,3.17,2.15,1.97,30.4,17.4,,SymRac,,Symplocos
KDM15,S1(2),S1,0.29,1.07,0.77,1.08,14,17.8,,SymRac,,
KDM15,S1(3),S1,0.04,0.44,0.28,0.28,13.2,10.8,,SymRac,,
KDM15,S2,S2,0.22,1.89,0.92,0.32,11 + 5.8 + 3.8,5.4,,Gargum,,3 branches in the shoot system have been measured. Garcinia. gummigatta
KDM15,S3(1),S3,0.39,1.67,0.81,0.74,21.6,12.4,,LitTra,,Litsea
KDM15,S3(2),S3,0.2,0.58,0.19,0.15,11.8,8.6,,LitTra,,
KDM15,S4,S4,0.22,5.71,2.95,4.68,27.2,22.2,,Syz,,Syzygium
KDM15,S5,S5,0.71,1.95,0.41,6.69,15,28.6,,ActBou,,Actinodaphna
KDM15,S6(1),S6,0.28,3.9,3.1,3.65,22.6,19.8,,Psynig,,Psychotria nigra
KDM15,S6(2),S6,0.24,4.23,3.27,4.12,25,26.2,,Psynig,,
KDM15,S7(1),S7,0.73,3.1,1.38,1.94,14.2,16.6 + 15.2,,PsyMac,,Psychotria macrocarpa. 2 branches in the root system have been measured. 
KDM15,S7(2),S7,0.34,4.28,3.34,NA,26.6,NA,,PsyMac,,Roots couldn't be retrieved
KDM16,S1(1),S1,0.31,1.67,0.57,0.15,10.6,6.5 + 4.8,,PsyNig,,PSYCHOTRIA. 2 branches of stem have been measured
KDM16,S1(2),S1,0.74,4.63,1.58,0.65,17.8,15.4,,PsyNig,,
KDM16,S1(3),S1,0.44,1.32,0.46,0.47,13.2,15.2,,PsyNig,,
KDM16,S1(4),S1,0.24,1.29,0.67,0.14,13.2,9.2,,PsyNig,,
KDM16,S1(5),S1,0.69,3.25,0.79,0.33,22.4,13,,PsyNig,,
KDM16,S1(6),S1,2.04,11.64,4.45,2.53,24.2,16.6 + 12.6,,PsyNig,,2 branches of roots have been measured
KDM16,S2,S2,0.11,0.47,0.26,0.29,15.2,9.8,,,"Galaxy J6: 20201117_231949, 20201117_231742",
KDM16,S3(1),S3,0.27,10.8,5.12,4.43,30.5,22.4,,,"Galaxy J6: 20201117_232225, 20201117_232241, 20201117_232139",
KDM16,S3(2),S3,0.26,2.69,0.85,0.91,27.6,25.4,,,,
KDM17,S1(1),S1,0.55,2.8,0.74,0.57,19.4,9.6,,Litsea,Litsea travancorica,
KDM17,S1(2),S1,0.98,3.7,1.32,1.56,23.1,19.1,,Litsea,,
KDM17,S1(3),S1,0.32,1.27,0.37,NA,13.6,NA,,Litsea,,Root unavailale
KDM17,S1(4),S1,0.26,0.78,0.38,0.2,12.5,4.1,,Litsea,,Root broken off partly
KDM17,S1(5),S1,0.16,0.39,0.14,0.35,9.8,7.8,,Litsea,,
KDM17,S1(6),S1,0.14,0.95,0.61,0.16,17.5,4.5,,Litsea,,Only one available leaf was examined
KDM17,S2,S2,0.58,4.24,1.72,2.51,24.1,16.5,,ClaDen,Clausena Dendata,
KDM17,S3,S3,0.34,1.4,0.64,0.44,16.8,11.5,,,"103-3451, 103-3453",
KDM17,S3(2),S3,0.38,1.31,0.54,0.42,15.2,7.8,,,,
KDM17,S4,S4,0.16,0.48,0.21,0.1,10.2,NA,,,"Galaxy J6: 20201117_201147, 20201117_201255, 20201117_201350",
KDM18,S1,S1,0.82,4.41,1.64,1.65,22,14.5,,,"103-3404, 103-3405, 103-3406",
KDM18,S2,S2,0.38,1.42,0.7,0.75,17.4,15.8,,,"103-3407, 103-3412, 103-3413",
KDM19,S1(1),S1,0.32,0.74,0.22,2.32,11.5,15.8,,,"103-3441, 103-3443, 103-3446",
KDM19,S1(2),S1,0.41,4.86,3.88,4.67,2.6 +20,17.4,,,,2 branches in the shoot system have been measured
KDM19,S1(3),S1,0.42,1.38,0.9,2.14,17,18.4,,,,
KDM19,S2,S2,0.82,3.62,2.37,3.47,40.4,19.2,,,"103-3447, 103-3448, 103-3449",
KDM20,S1(1),S1,1.91,12.45,7,6.4,33,41.5,,,,
KDM20,S1(2),S1,0.82,3.33,0.71,4.9,9,22.4,,,,
KDM20,S2,S2,0.57,2.23,0.73,0.46,18.8,6,,,"103-3447, 103-3448, 103-3449",
KDM23,S1,S1,3.02,22.53,12.34,5.09,40,7.2,,,,
KDM23,S1(2),S1,1,12.12,6.17,1.61,35.6 + 12.2,7.8,,,,2 branches each of stem and root have been measured
KDM23,S1(3),S1,0.2,1.19,0.78,0.07,13,5,,,,
KDM23,S4,S4,1,12.74,5.41,6.4,33.5,23.8,,,"Galaxy J6: 20201118_193956,  20201118_194015,  20201118_194042",
KDM23,S5,S5,0.18,0.68,0.33,0.25,8.8,5.6,,,"Galaxy J6: 20201118_194254,  20201118_194303,  20201118_194319",
KDM23,S6,S6,0.19,1.07,0.69,0.94,11 + 19,6,,,"Galaxy J6: 20201118_193343,  20201118_194420,  20201118_194509",19 is the length of the attached dead stem 
KDM21,S1,S1,-,5.76,4.5,4.76,31,33.6+18.1,,,,herbivored/diseased leaves and stem regrown / main root branch measured only
KDM21,S3,S3,0.12,1.58,1,0.33,22.7,7,,,,
KDM21,S2,S2,0.4,1.54,0.45,0.4,15.5,10,,,,
KDM22,S1,S1,2.82,13.8,7.73,10.12,40.2,31.6,A,,"Galaxy J6: 20201118_223107,  20201118_223122,  20201118_223213","Diseased, Herbivored"
KDM22,S2,S2,0.82,3.75,1.34,0.89,23.5,21.4,B,,"Galaxy J6: 20201118_223640,  20201118_223721,  20201118_223742",
KDM22,S3,S3,0.46,1.72,0.6,0.28,18.6,9.6,C,,"Galaxy J6: 20201118_223815,  20201118_223908,  20201118_223926",
KDM22,S4,S4,0.21,0.8,0.66,0.18,31.5,7.9,D,,"Galaxy J6: 20201118_224103,  20201118_224115",Length of 2 branches in stem system added up
KDM24,S1,S1,0.31,2.97,1.89,NA,22.2,NA,,NotBed,,NOTHOPEGIA. Roots traits were not measured. Thick roots.
KDM24,S2,S2,0.09,3.55,2.8,2.49,14.2,35.6,,Syz,,SYZYGIUM. Apart of the root was cut while sampling
KDM28,S1,S1,1.12,10.04,4.29,3.89,37.3,18.5,E,,"Galaxy J6: 20201120_221109,  20201120_221150",
KDM28,S2,S2,0.56,2.22,0.79,2.32,12.6,20.2 + 19.8,F,,"Galaxy J6: 20201120_221357,  20201120_221419, 20201120_221434",2 branches of roots have been measured
KDM28,S3,S3,0.25,3.21,2.31,1.16,24.6,5.6,,,"Galaxy J6: 20201120_221457,  20201120_221519, 20201120_221535",
KDM28,S4(1),S4,0.41,1.89,0.9,0.96,16.2,13.2,,,"Galaxy J6: 20201120_221556,  20201120_221607, 20201120_221617",
KDM28,S4(2),S4,0.09,0.6,0.23,0.17,11.8,10,,,,
KDM28,S4(3),S4,0.21,1.13,0.34,0.24,15.6,9.2,,,,
KDM28,S4(4),S4,0.13,0.57,0.18,0.29,8.6,13.6,,,,
KDM28,S4(5),S4,0.23,1.14,0.48,0.49,12,15.6,,,,
KDM28,S4(6),S4,0.1,0.57,0.2,0.18,9.2,15.4,,,,
KDM26,S1(1),S1,0.26,1.07,0.28,0.42,11.4,14,,SymRac,,SYMPLOCOS
KDM26,S1(2),S1,0.08,0.55,0.11,0.29,5.6,12.6,,SymRac,,
KDM26,S2(1),S2,0.64,2.54,0.81,0.3,12,3,,PsyNig,,PSYCHOTRIA NIGRA
KDM26,S3,S3,0.93,2.51,0.7,0.8,19.6,13.5,,,"Galaxy J6: 20201121_085358, 20201121_085414, 20201121_085429",
KDM26,S4,S4,0.18,0.63,0.27,0.42,11,13.8,,,"Galaxy J6: 20201121_090438, 20201121_090452, 20201121_090515",
KDM26,S5,S5,0.65,3.29,2.2,4.12,19.8,11.8,,,"Galaxy J6: 20201121_104319, 20201121_104429, 20201121_104441",A portion of the root could not be retrieved 
KDM26,S6,S6,0.32,1.34,0.43,0.63,13.8,21.4,,,"Galaxy J6: 20201121_104455, 20201121_104513, 20201121_104528",
KDM26,S7,S7,0.84,5.13,1.49,1.47,17.8,10.2,,LitBou,,LITSEA BOURDILLONI
KDM27,S1,S1,0.71,2.79,0.69,0.96,11.8,12.4,,,"Galaxy J6: 20201121_094225, 20201121_094708, 20201121_094723",
KDM27,S2,S2,0.11,1.24,0.64,0.57,19.8 + 9,22.2,,,"Galaxy J6: 20201121_094804, 20201121_094853, 20201121_095018",2 branches of stem have been measured
KDM27,S3,S3,0.2,1.24,0.42,0.24,24.8,8.2,,,"Galaxy J6: 20201121_095121, 20201121_095207, 20201121_095225",
KDM27,S4,S4,0.2,1.28,0.78,0.26,11.4 + 2.2,7.6 + 2.8,,,"Galaxy J6: 20201121_095249, 20201121_090440, 20201121_095458",Stem broke while measuring. 2 branches of root have been measured
KDM25,S1,S1,0.28,1.78,0.74,2.5,13.4,13,,,"Galaxy J6: 20201121_112652, 20201121_112833, 20201121_112852",A portion of the root could not be retrieved 
KDM25,S2,S2,0.14,2.27,1.47,2.31,25.6 + 7.8,30.5,,,"Galaxy J6: 20201121_113004, 20201121_113044, 20201121_113101",2 branches of stem have been measured
KDM25,S3,S3,0.15,2.14,1.8,3.54,28,24.4,,,"Galaxy J6: 20201121_113123, 20201121_113150, 20201121_113242",
KDM29,S1(1),S1,-,3.27,2.31,1.68,24.9,18.6+14.2,,PsyNig,,"one leaf measured, herbivored, stem broken and regrown"
KDM29,S1(2),S1,0.39,3.98,1.99,1.49,19.4,15.1+11.2,,PsyNig,,
KDM29,S2,S2,0.19,2.02,1.33,0.76,28.8,8.2,,uk,,root partly lost
KDM30,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,
KDM31,S1,S1,1.49,6.52,3.29,0.82,29.2,13.2 + 3.6,,PsyNig,,2 branches of roots have been measured
KDM31,S2,S2,0.13,0.9,0.44,0.1,24.8,8.2,,G,"Galaxy J6: 20201122_225031, 20201122_225103, 20201122_225149",4 other similar looking individuals dried before analysis
KDM31,S2(2),S2,NA,NA,NA,NA,NA,NA,,G,,
KDM31,S2(3),S2,NA,NA,NA,NA,NA,NA,,G,,
KDM31,S2(4),S2,NA,NA,NA,NA,NA,NA,,G,,
KDM31,S2(5),S2,NA,NA,NA,NA,NA,NA,,G,,
KDM32,S1,S1,1.22,6.56,2.61,1.24,22.2,13.8 + 4.2,,PsyNig,Galaxy J6: 20201123_123140,Psychotria sp. A part of one branch of root is missing
KDM32,S2(1),S2,0.39,2.34,1,0.72,27.4,16.6,,,"Galaxy J6: 20201123_123541, 20201123_123618, 20201123_123647",
KDM32,S2(2),S2,0.25,0.74,0.25,0.16,16.6,17,,,,
KDM32,S2(3),S2,NA,NA,NA,NA,NA,NA,,,,
KDM35,S1,S1,0.15,1.27,0.7,0.38,14,12.2,,Psy,"Galaxy J6: 20201123_150902, 20201123_150937, 20201123_150948",Psychotria sp
KDM35,S2(1),S2,0.97,4.69,1.53,0.8,22.4,9.2,,,"Galaxy J6: 20201123_151004, 20201123_151013, 20201123_151030",
KDM35,S2(2),S2,0.46,2.26,1.33,0.91,30.4,12,,,,
KDM35,S3(1),S3,0.22,0.64,0.3,0.15,11.4 + 8.8,6.8,,Litsea,"Galaxy J6: 20201123_151054, 20201123_151125, 20201123_151212",Litsea sp. 8.8 is the lentgth of a dead stem attached to the main stem
KDM35,S3(2),S3,0.4,1.62,0.86,0.26,24.2,5,,Litsea,,A major portion of root was lost while sampling
KDM35,S3(3),S3,0.24,1.08,0.67,0.34,17,6,,Litsea,,A major portion of root was lost while sampling
KDM33,S1,S1,0.47,1.45,0.65,0.62,17.8,12 + 4,,Litsea,"Galaxy J6: 20201123_181150, 20201123_181207, 20201123_181225",Litsea sp. Root broke while sampling and a small portion of it can not be retrieved
KDM34,S1,S1,1.15,6.47,2.34,2.81,19.4,17.8 + 5.8,,Psy,"Galaxy J6: 20201123_183108, 20201123_183207, 20201123_183224",Psychotria sp. 2 branches of roots have been measured 
KDM34,S2,S2,0.42,1.49,0.51,0.4,18.2,9,,Syz,"Galaxy J6: 20201123_183245, 20201123_183306, 20201123_183322",Syzygium sp. A small portion of root was lost while sampling
KDM34,S3,S3,0.36,2.3,1.01,1,20.4,15.2,,Litsea,"Galaxy J6: 20201123_183359, 20201123_183421, 20201123_183449","Litsea sp. A portion of root was lost while sampling. Only one leaf available for analysis, other two were herbivored and deceased"
KDM34,S4,S4,0.27,1.14,0.48,2.02,12.8,23.6,,,"Galaxy J6: 20201123_183510, 20201123_183838, 20201123_183901",Unidentified
KDM36,S1(1),S1,0.28,2.03,1.19,0.23,17,7.8,,PsyNig,,Psychotria nigra
KDM36,S1(2),S1,1.31,5.79,2.33,0.99,20.4,9.2,,PsyNig,,A portion of root was lost while sampling
KDM36,S1(3),S1,0.28,1.05,0.48,0.37,9.8,11.8,,PsyNig,,
KDM36,S1(4),S1,0.19,1.13,0.37,0.53,7,11.5,,PsyNig,,
KDM36,S1(5),S1,0.3,1.48,0.36,0.37,7.4,11.5,,PsyNig,,
KDM36,S1(6),S1,0.55,1.74,0.7,0.67,9.4, ,,PsyNig,,A small portion of root was lost while sampling
KDM36,S1(7),S1,0.88,4.48,1.35,0.74,15,9,,PsyNig,,
KDM36,S1(8),S1,2.23,14.35,3.7,4.1,22,22.2,,PsyNig,,
KDM36,S2,S2,0.85,4.41,1.72,2.93,25,13.6,,PsyMac,,Psychotria macrocarpa. A major portion of the root was lost while sampling
KDM36,S3,S3,0.02,0.15,0.05,0.09,9,9.2,,SyzRub,,Syzygium rubicundum
KDM36,S4,S4,0.68,7.28,3.98,3.85,40,10.6,,ClaDen,,Murraya koenigii
KDM36,S5(1),S5,0.69,2.48,0.96,0.36,26.4,8,,,"Galaxy J6: 20201124_143930, 20201124_144011, 20201124_144122",Unidentified. One more individual of this species has dried off before analysis
KDM36,S5(2),S5,0.1,0.3,0.12,0.19,11.8,10.4,,,,Only one complete leaf was present in the seedling
KDM36,S6,S6,1.09,3.86,1.73,0.92,21,14.5,,,"Galaxy J6: 20201124_150331, 20201124_150358, 20201124_150407",Unidentified. Serated leaves
KDM36,S7,S7,NA,NA,NA,NA,NA,NA,,NotBed,"Galaxy J6: 20201124_150906, 20201124_150929, 20201124_150948",Nothopegia sp. Specimen has dried off before analysis
KDM37,S1(1),S1,0.36,1.34,0.51,0.81,9.8,18,,PsyNig,,Psychotria nigra
KDM37,S1(2),S1,1.75,7.69,2.69,2.89,17.4,15.6,,PsyNig,,
KDM37,S1(3),S1,1.78,11.03,4.02,1.07,35.2,8.2,,PsyNig,,
KDM37,S2,S2,1.49,6.47,2.6,1.03,30.6,10.2,,PsyMac,,Psychotria macrocarpa
KDM37,S3(1),S3,3.73,12.45,4.17,6.34,29.2,23.6,,,"Galaxy J6: 20201126_145435, 20201126_145522, 20201126_145546",Unidentified. Serrated leaves
KDM37,S3(2),S3,0.15,0.47,0.16,0.11,10.5,8.6,,,,
KDM37,S4,S4,0.47,4.2,3.06,5.55,20.8,20 + 1.2,,,"Galaxy J6: 20201126_145718, 20201126_145801, 20201126_145837",Unidentified. Only one complete available. Root was broken into a long and a short piece.
KDM37,S5(1),S5,0.5,1.62,0.63,0.4,15.4,10.4,,,"Galaxy J6: 20201126_145904, 20201126_145948, 20201126_150104",Unidentified.
KDM37,S5(2),S5,0.69,2.17,0.86,0.51,22.6,10.8,,,,
